unfiltered	filtered	sample
58678	57954	2017-12-04-3055-PR2-009-A
4	0	2017-12-04-3055-PR2-009-B
12399	1	2017-12-04-3055-PR2-011-a
21433	21094	2017-12-04-3055-PR2-011-b
28417	27971	2017-12-04-3164-PR2-0071-A
30632	30197	2017-12-04-3164-PR2-0071-B
13608	3	2017-12-04-3514-PR2-010-a
11858	3	2017-12-04-3514-PR2-010-b
34781	34359	2017-12-05-3284-PR2-0072-A
26266	25926	2017-12-05-3284-PR2-0072-B
554	416	2017-12-05-3285-PR2-0061-A
407	278	2017-12-05-3285-PR2-0061-B
9	9	2017-12-05-3523-PR2-008-A
7	0	2017-12-05-3523-PR2-008-B
1536	1	2017-12-05-3523-PR2-010-a
1095	0	2017-12-05-3523-PR2-010-b
46543	45967	2017-12-05-3527-PR2-009-A
9128	9012	2017-12-05-3527-PR2-009-B
5	0	2017-12-06-3336-PR2-009-A
9096	8987	2017-12-06-3336-PR2-009-B
2630	1	2017-12-06-3336-PR2-011-a
2027	0	2017-12-06-3336-PR2-011-b
31471	31051	2017-12-11-3540-PR2-0072-A
34919	34480	2017-12-11-3540-PR2-0072-B
18	0	2017-12-11-3541-PR2-009-A
319	1	2017-12-11-3541-PR2-009-B
12009	2	2017-12-11-3541-PR2-010-a
15675	3	2017-12-11-3541-PR2-010-b
7268	7170	2017-12-11-3542-PR2-0061-A
21732	21388	2017-12-11-3542-PR2-0061-B
26166	25828	2017-12-11-3546-PR2-0072-A
27361	27060	2017-12-11-3546-PR2-0072-B
87	0	2017-12-11-3547-PR2-008-A
20286	19944	2017-12-11-3547-PR2-008-B
1569	1	2017-12-11-3547-PR2-010-a
1409	4	2017-12-11-3547-PR2-010-b
18996	18755	2017-12-11-3557-PR2-008-A
18238	17944	2017-12-11-3557-PR2-008-B
135	117	2017-12-12-3575-PR2-009-A
213	0	2017-12-12-3575-PR2-009-B
9970	1	2017-12-12-3575-PR2-010-a
2249	1	2017-12-12-3575-PR2-010-b
2437	2405	2017-12-12-3577-PR2-0072-A
5838	5733	2017-12-12-3577-PR2-0072-B
5490	5375	2017-12-12-3578-PR2-0061-A
4118	4041	2017-12-12-3578-PR2-0061-B
75	71	2017-12-12-3579-PR2-0071-A
214	202	2017-12-12-3579-PR2-0071-B
20876	20493	2017-12-12-3580-PR2-008-A
6244	6146	2017-12-12-3580-PR2-008-B
2616	1	2017-12-12-3589-PR2-010-a
1946	4	2017-12-12-3589-PR2-010-b
72	24	2017-12-12-3602-PR2-0061-A
51	11	2017-12-12-3602-PR2-0061-B
35286	34750	2017-12-12-3604-PR2-0061-A
40564	39964	2017-12-12-3604-PR2-0061-B
268	230	2017-12-12-3614-PR2-0061-A
168	141	2017-12-12-3614-PR2-0061-B
16	0	2017-12-12-3615-PR2-009-A
52	0	2017-12-12-3615-PR2-009-B
12723	3	2017-12-12-3615-PR2-010-a
1615	0	2017-12-12-3615-PR2-010-b
1	1	2017-12-12-3616-PR2-0062-B
20419	20115	2017-12-12-3617-PR2-008-A
36	0	2017-12-12-3617-PR2-008-B
125	0	2017-12-13-3627-PR2-009-B
6929	2	2017-12-13-3627-PR2-011-a
4667	0	2017-12-13-3627-PR2-011-b
4436	4362	2017-12-13-3630-PR2-0061-A
6397	6261	2017-12-13-3630-PR2-0061-B
22	0	2017-12-13-3637-PR2-008-A
27	0	2017-12-13-3637-PR2-008-B
1982	0	2017-12-13-3637-PR2-010-a
24054	20439	2017-12-13-3637-PR2-010-b
20	0	2017-12-13-3642-PR2-008-A
9206	9077	2017-12-13-3642-PR2-008-B
11380	8596	2017-12-13-3642-PR2-010-a
18207	17800	2017-12-13-3642-PR2-010-b
20	18	2017-12-18-3122-PR2-0071-A
20	19	2017-12-18-3122-PR2-0071-B
18956	18652	2017-12-18-3148-PR2-008-A
4367	4309	2017-12-18-3148-PR2-008-B
43283	42648	2017-12-18-3154-PR2-0061-A
45566	44860	2017-12-18-3154-PR2-0061-B
478	411	2017-12-18-3190-PR2-0062-A
544	428	2017-12-18-3190-PR2-0062-B
349	336	2017-12-18-3202-PR2-0062-A
79	2	2017-12-18-3202-PR2-0062-B
6274	6173	2017-12-18-3205-PR2-0062-A
8549	8420	2017-12-18-3205-PR2-0062-B
3	0	2017-12-18-3649-PR2-009-A
39	0	2017-12-18-3649-PR2-009-B
2342	1	2017-12-18-3649-PR2-011-a
22711	22108	2017-12-18-3649-PR2-011-b
532	529	2017-12-18-3659-PR2-0062-B
12135	15	2017-12-18-3661-PR2-010-a
11230	5	2017-12-18-3661-PR2-010-b
170	94	2017-12-18-3665-PR2-0062-A
193	158	2017-12-18-3665-PR2-0062-B
12468	12089	2017-12-18-3824-PR2-010-a
23676	23027	2017-12-18-3824-PR2-010-b
7804	7656	2017-12-19-3672-PR2-0061-A
7090	6962	2017-12-19-3672-PR2-0061-B
2207	2171	2017-12-19-3673-PR2-0072-A
2594	2566	2017-12-19-3673-PR2-0072-B
1603	1518	2017-12-19-3677-PR2-0061-A
1588	1474	2017-12-19-3677-PR2-0061-B
31	0	2017-12-19-3681-PR2-009-A
14	0	2017-12-19-3681-PR2-009-B
1338	0	2017-12-19-3681-PR2-011-a
22390	21746	2017-12-19-3681-PR2-011-b
30	0	2017-12-19-3685-PR2-0061-A
547	481	2017-12-19-3685-PR2-0061-B
71137	70131	2017-12-20-3708-PR2-0061-A
58840	58130	2017-12-20-3708-PR2-0061-B
14714	14517	2017-12-20-3709-PR2-0062-A
13340	13167	2017-12-20-3709-PR2-0062-B
15096	14888	2017-12-20-3713-PR2-008-A
25479	25148	2017-12-20-3713-PR2-008-B
26516	26146	2017-12-20-3714-PR2-0071-A
27313	26999	2017-12-20-3714-PR2-0071-B
16672	16227	2017-12-20-3719-PR2-010-a
18409	9	2017-12-20-3719-PR2-010-b
22252	21971	2017-12-20-3720-PR2-008-A
24622	24337	2017-12-20-3720-PR2-008-B
20276	20018	2017-12-20-3728-PR2-008-A
29592	29254	2017-12-20-3728-PR2-008-B
93	4	2017-12-27-3746-PR2-0062-A
94	49	2017-12-27-3746-PR2-0062-B
33	13	2017-12-27-3747-PR2-0061-A
97	75	2017-12-27-3747-PR2-0061-B
10834	2	2017-12-27-3754-PR2-010-a
9224	3	2017-12-27-3754-PR2-010-b
42	0	2017-12-27-3758-PR2-008-A
8	0	2017-12-27-3758-PR2-008-B
1751	1	2017-12-27-3758-PR2-010-a
16126	8090	2017-12-27-3758-PR2-010-b
2	2	2017-12-27-3761-PR2-0062-A
20	19	2017-12-27-3761-PR2-0062-B
61	58	2017-12-27-3762-PR2-0072-A
206	203	2017-12-27-3762-PR2-0072-B
20	0	2017-12-27-3766-PR2-0061-A
112	72	2017-12-27-3766-PR2-0061-B
24319	23985	2017-12-27-3777-PR2-0071-A
9332	9217	2017-12-27-3777-PR2-0071-B
168	0	2017-12-27-3779-PR2-009-A
2	0	2017-12-27-3779-PR2-009-B
