filtered	sample
36119	2017-11-22-3720-PR2-0072-B
26891	2017-11-22-3728-PR2-008-A
28407	2017-11-22-3728-PR2-008-B
3	2017-11-27-3745-PR2-010-a
4	2017-11-27-3745-PR2-010-b
16851	2017-11-27-3746-PR2-0071-A
14769	2017-11-27-3746-PR2-0071-B
2036	2017-11-27-3747-PR2-0062-A
7259	2017-11-27-3747-PR2-0062-B
54684	2017-11-27-3758-PR2-009-A
0	2017-11-27-3758-PR2-009-B
20228	2017-11-27-3758-PR2-011-a
21141	2017-11-27-3758-PR2-011-b
2734	2017-11-27-3761-PR2-0062-A
5271	2017-11-27-3761-PR2-0062-B
11877	2017-11-27-3762-PR2-010-a
6	2017-11-27-3762-PR2-010-b
24595	2017-11-27-3766-PR2-0071-A
31770	2017-11-27-3766-PR2-0071-B
22188	2017-11-27-3773-PR2-008-A
27230	2017-11-27-3773-PR2-008-B
20464	2017-11-27-3777-PR2-008-A
28054	2017-11-27-3777-PR2-008-B
53685	2017-11-27-3779-PR2-009-A
0	2017-11-27-3779-PR2-009-B
19214	2017-11-27-3779-PR2-011-a
33198	2017-11-27-3779-PR2-011-b
188	2017-11-28-3783-PR2-009-A
38761	2017-11-28-3783-PR2-009-B
2	2017-11-28-3783-PR2-010-a
3	2017-11-28-3783-PR2-010-b
47697	2017-11-28-3785-PR2-009-A
40888	2017-11-28-3785-PR2-009-B
10286	2017-11-28-3786-PR2-0071-A
14728	2017-11-28-3786-PR2-0071-B
34119	2017-11-28-3787-PR2-009-A
77174	2017-11-28-3787-PR2-009-B
33244	2017-11-28-3803-PR2-009-A
41734	2017-11-28-3803-PR2-009-B
196	2017-11-28-3805-PR2-0062-A
1324	2017-11-28-3805-PR2-0062-B
194	2017-11-28-3816-PR2-0072-A
2423	2017-11-28-3816-PR2-0072-B
30586	2017-11-28-3818-PR2-0071-A
24821	2017-11-28-3818-PR2-0071-B
21694	2017-11-29-3079-PR2-008-A
31827	2017-11-29-3079-PR2-008-B
24233	2017-11-29-3093-PR2-008-A
24057	2017-11-29-3093-PR2-008-B
28449	2017-11-29-3096-PR2-0071-A
32427	2017-11-29-3096-PR2-0071-B
1552	2017-11-29-3315-PR2-0062-A
1159	2017-11-29-3315-PR2-0062-B
